words_en,ratings
people don't understand anything,bad
people like you are a pain,very violent
people like you are dangerous,very violent
People like you are hard to deal with on a daily basis.,very violent
people like you don’t care,bad
people like you don't give a clue,violent
People like you don't have a say,violent
People like you don't know how to integrate outside information properly.,violent
people like you shall be jailed,very violent
People want to hurt me.,bad
People who hurt others deserve to be punished.,bad
Physical safety is a priority for me.,good
Pick up those papers you carelessly threw away.,bad
"Picnic basket in hand, she set off for her date.",good
Piece of shit,very violent
pigsty,bad
Playing with a jump rope was one of my favorite things to do when I was a kid.,good
Please,good
Please be seated.,good
Please come in,good
Please enter the room.,good
Please feel free to reach out to me at any time during the next few weeks with any questions or concerns.,good
Please find attached the feedback summary of the class.,good
Please find attached this week's report.,good
Please find our price list attached.,good
Please forgive me.,good
Please have a look.,good
Please have a seat.,good
Please let us know how we can help.,good
Please sit.,good
Please stop being so dramatic,violent
Please stop being so dramaticly paranoïd,violent
Please wait.,good
Pleased to meet you.,good
"Pompous sod, aren't you?",very violent
"Poor little broken heart, you are.",violent
Pretend I don't exist,bad
Pretend you're not listening to what I say,bad
question yourself,violent
Quit shitting on us with your big shit.,very violent
Regards,good
relationships must be easy,bad
Remember when we made love in your friend's room during the party?,good
Respect is a value that is important to me.,good
"Right, you're just a pathological liar and quite possibly a clinical sociopath.",very violent
"Roses are red, violets are blue, sugar is sweet, and so are you.",acceptable positive
rotten,very violent
Say that again and I'll knock you out,very violent
screw it,very violent
see the positive side,bad
See you again,good
See you buddy.,good
See you guys.,good
See you later.,good
See you later.,good
See you my friends.,good
See you soon,good
See you tomorrow at 9am then.,good
See you tomorrow.,good
See you tomorrow.,good
"Seriously, how can you be so stupid?",very violent
"Seriously, what have you been smoking?",bad
Shall we launch the visio?,good
"She called me three times this week, and each time talked about people who treated her in ways she didn’t like.",excellent
She complains each time I talk with her.,bad
"She completed her literature review, and she created her reference list.",good
She doesn’t teach chemistry.,good
She doesn’t use a computer.,good
She goes to the cinema,good
She has a severe headache and needs to take some Advil.,good
She has an ear infection and it’s very painful.,good
She hasn’t decided what dessert she wants.,good
She is lazy.,bad
She is so pretty.,good
She loves English.,good
She negotiates her salary.,good
She only eats fish.,acceptable negative
She only thinks about herself. ,very violent
She operates the computer.,good
She pays the loan.,good
She plays tennis.,good
She practices her religion.,good
She reads a book.,good
She reads the newspaper.,good
She really is irritating!,bad
She renovates the house.,good
She should be more considerate!,bad
She smelled of strawberries and cream.,good
She solves her problems.,good
She spends her life screwing up.,very violent
She takes a transfer.,good
She takes the train to the office.,good
She usually does washing on Sundays.,good
She usually drives to work.,good
She usually takes the bus.,good
She waits for you.,good
She was covered in mosquito bites and they were very itchy.,good
She was first in line every day this week.,good
She watches a movie.,good
She works in London.,good
She works on the computer.,good
She worries about that.,good
She writes an article.,good
shit,very violent
shit,very violent
Should we drive to the concert together?,good
Shove it up your ass,very violent
Showing our vulnerability by expressing our feelings can help resolve conflicts.,good
Shut the fuck up,very violent
Shut the fuck up,very violent
Shut the fuck up you asshole,very violent
shut up,violent
Shut up,very violent
Shut your big mouth,very violent
Shut your mouth,very violent
Since I drank my coffee I feel more awake.,excellent
Since I got this promotion I feel much more confident.,excellent
"Since I heard the news, I feel devastated.",excellent
Since I heard this news I feel down.,excellent
"Since I know that the party will take place, I am in a happy mood.",excellent
Since I learned that it was possible to get grants I feel optimistic.,excellent
"Since I learned that we have to hand in this assignment tomorrow, I feel feverish.",excellent
"Since I learned to use NVC, I feel more centered on myself.",excellent
Since I stopped taking these pills I feel more depressed.,excellent
"Since I swam in that pool, my hair has turned green.",excellent
since it's like that I'm leaving,bad
"Since the kids came along, I don't have a place in your life",bad
Since the risk is gone I feel peaceful.,excellent
Since we clarified this point I feel much more serene.,excellent
Since we installed this alarm I feel safer.,excellent
"Since we talked, I feel more relaxed.",excellent
"Since you are gone, I feel melancholy.",excellent
"Since you are working in another city, I feel sad because I need a connection.",excellent
Since you left me I feel desperate.,excellent
"Since you left on your trip, I feel nostalgic because I want to be able to hold you in my arms again.",excellent
"Since you left, I feel very unhappy.",excellent
Since you’ve been around I smile a lot more than I used to,good
Sincerely,good
"Sitting in the rocking chair, the old woman yelled at the kids in her yard.",good
Smiling so much today just thinking of you.,good
Snow is white.,good
So it sounds like you’re really fed up with learning something that has no relevance in those situations?,good
so what!,bad
So you don’t trust my reasons for arresting this man?,good
So you need to trust that someone teaching you something has some knowledge of your neighborhood?,good
So you want to just be with yourself right now?,good
So you’re feeling nervous about how to make arrangements and would appreciate it if your future in-laws could be more aware of the complications their indecision creates for you?,good
So you’re furious and would appreciate some support in improving your living conditions?,good
"So, can you please let me know on which part position is open ?",good
"So, you're currently going through a difficult situation and you need support?",good
"Soaked from the rain, the dog shook himself dry.",good
Sodomy is for fags.,bad
Some passages of this book are not in agreement with my values.,good
Some students find the pace too fast to take proper notes but these blackboard files will be very clear and complete and can be used as your notes.,good
Someone broke into our home and I am scared that they might come back.,good
Someone lost my hairbrush and I demand to have it back right away,bad
Someone told me that you think that,bad
Sometimes I argue with my sister.,good
Sometimes I can’t stop looking at you . . . you look too damn good!,good
Sometimes I can’t stop looking at you… you look too damn good.,good
Sometimes I look at you and wonder how I got so lucky,good
Sometimes inspiration comes to me while walking.,good
"Sometimes when people say little things, I feel hurt because I want to be appreciated, not criticized.",good
"Sorry, I don't like men, I'm a lesbian.",good
Sounds like a great plan.,good
Sounds like honesty is really important to you; am I right?,good
"Sounds like you’re feeling very desperate and you’re wondering whether I or anybody else can really understand what it’s like to be living under these conditions, Am I hearing you right?",good
Spaghetti with meatballs is my favorite dinner.,good
Spanish motherfucker...,very violent
Spank me.,good
Spontaneity is important to me.,good
Stop acting like you're surprised...,bad
Stop arguing with me,bad
Stop asking yourself existential questions,bad
stop behaving like that,bad
stop being a baby,bad
stop being an idiot,bad
Stop being naughty and listen to me.,bad
Stop being so compulsive.,bad
Stop being so dramatic,violent
Stop being so insecure,violent
Stop being so sensitive.,violent
Stop being so tattletale.,bad
Stop believing in this bullshit,bad
Stop blaming me,violent
Stop blaming others,violent
Stop blaming others.,violent
Stop complaining,bad
Stop complaining,very violent
Stop crying,bad
Stop doing that,bad
"Stop doing that at parties, it's really embarrassing...",bad
Stop doing that now!,bad
stop doing this,bad
Stop doing this to yourself.,bad
Stop doing your Kalimero,violent
Stop exaggerating the situation!,violent
Stop fooling yourself,violent
Stop getting upset over nothing.,violent
Stop imagining things!,violent
stop it,bad
stop it now,bad
stop it right now,bad
Stop justifying yourself,violent
Stop letting yourself be paralyzed by understanding!,bad
Stop looking for trouble,violent
stop lying,bad
Stop making a spectacle of yourself,violent
Stop making up your mind about this story,violent
Stop mothering me like my mother.,bad
"Stop moving, you'll make me seasick!",bad
Stop pissing me off you moron...,very violent
Stop playing the victim,violent
Stop pretending,bad
Stop pretending to be hurt by what I said.,violent
Stop pretending to be the white dove,violent
Stop saying bad words you impertinent kid.,violent
Stop showing off,violent
Stop smoking the carpet,bad
Stop straightening your moustache,violent
Stop taking everything I say so seriously.,violent
Stop taking it so seriously,violent
Stop taking things personally.,violent
Stop talking back silly kid.,very violent
Stop talking nonsense,bad
stop the bullshit,violent
stop the nonsense,bad
Stop thinking about this nonsense,bad
Stop thinking you can do anything,bad
Stop thinking you're better than me,very violent
Stop trying to force me to do things I don't want to do.,bad
Stop trying to manipulate me.,bad
Stop turning your brain around,bad
Stop your bullshit,violent
Stop your nonsense,bad
"Stubborn, aren't you?",bad
suicide,very violent
Sure you may borrow my umbrella,good
"Surely, you are one of those bewitched.",violent
Suzanne Jones sees a substantive difference between active listening as originated by Gordon and empathic listening as recommended by Rosenberg.,good
"Sweep out the shop, you're a little boy.",violent
Tact is not your forte...,bad
Take a little consideration of others,bad
Take care,good
Take me doggy style.,good
take me for an idiot,violent
Talk to me like that again and I'll smash your face in,very violent
Tell me about yourself?,good
thank goodness I'm here to take care of it,bad
Thank me instead,violent
Thank you again for all the hard work you contribute to both our department and the company.,good
Thank you for a great Year,acceptable positive
Thank you for a job well done,good
Thank you for adoring me the way you do.,acceptable positive
Thank you for being a great leader,acceptable positive
Thank you for being so sweet and loving to my family and friends.,acceptable positive
Thank you for being such a wonderful friend and colleague.,acceptable positive
Thank you for being you!,good
Thank you for coordinating with us for the development of the project.,good
Thank you for doing a great job!,good
Thank you for going the extra mile,good
Thank you for making me feel safe and loved.,good
Thank you for our conversation.,good
Thank you for volunteering,good
Thank you for walking through this life with me. I’ll adore you every step of the way.,good
Thank you for your email.,good
Thank you for your excellent sales performance,good
Thank you for your hard work,acceptable positive
Thank you for your help.,good
Thank you for your interest.,good
Thank you for your time.,good
Thank you for your understanding,good
Thank you once again for all your effort.,good
Thank you once again for your selfless assistance.,good
Thank you once again.,good
Thank you so much for being a customer of our company.,good
Thank you so much for thinking of me!,good
Thank you very much for meeting with me yesterday regarding my current project.,good
Thank you!,good
Thank you.,good
Thanks for choosing our company.,good
Thanks for the positivity,good
Thanks for your help.,good
Thanks so much for your email,good
"Thanks so much to everyone on the team for getting our latest project completed not only ahead of schedule, but under budget.",good
"Thanks, I appreciate it.",good
That cat had been chased by a dog.,good
That is hardly important,bad
That's a really bad behavior,very violent
That's because you are a shit...,very violent
That's how we do it,bad
"That's how we do it here, period.",bad
"That's how we do things here, no other way.",bad
that's mean,bad
That's nonsense,bad
that's not how I'm going to like you,very violent
That's not how it's done,bad
That's not true.,bad
That's really callous of you.,violent
"That's right, go hide in your mother's skirt",violent
"That's right, go hide...",very violent
"That's right, pretend to cry",violent
that's the way it is,bad
that's your interpretation,bad
The accountant gave us his report,good
the action was not carried out according to the instructions,good
The administration of this company is a joke.,bad
The Arabs are only interested in getting benefits,violent
The attention that is paid to this means a lot to me.,good
The author is writing a new book.,good
"The book was on the table, in the living room.",good
The book was on the table.,good
"The bookshelf, a large piece of furniture, was moved into the house first.",good
The box is spilled on the floor.,good
The car keys were in your pants pocket,good
The car stalled despite the tune-up.,good
The car turned the corner.,good
The car wash was out of order.,good
The cat and dog ate.,good
The cat brought us a dead mouse,good
The cat is eating its food.,good
The cat is meowing at the window because it wants to come in.,good
"The cat is meowing, I think it's hungry.",good
The cat is sitting on my chair.,good
The cat is sleeping on the couch.,good
The cat stretched.,good
The cat's bowl is empty since yesterday,good
The church bells are ringing.,good
The coat is torn,good
The consideration that I am given means a lot to me.,good
The conversation lasted 3 hours,good
The course starts next Sunday.,good
The courses of Applied Mathematics start on the 6th  April because Monday 5th April it’s Easter (day off).,good
The coyote runs after the rabbit.,good
The crying baby kept her parents up all night.,good
The cutlery has not been cleared,good
"The day they find out my faults, they will reject me.",violent
"the day you do this, this will happen",bad
"The day you stop acting like a temperamental kid, the chickens will have teeth.",very violent
The decision has been changed,good
The decoration is horrible,bad
The Delta Airlines flight to New York is ready to board.,good
The devil is out of the box.,good
The dishwasher is full,good
The displays on previous generations of devices used three separate components.,good
The doctor recommended that I cut down on sugar.,good
The doctor said that the boy’s fever was a result of a virus.,good
The doctor will see you in a minute.,good
The dog ate the dinner,good
The dog eat the cake.,good
The dog is asleep on his bed.,good
"The door is like your mouth. If you can't shut it, we can slam it shut.",very violent
The door was closed.,good
The Earth is spherical.,good
The emotions I felt when we talked about this topic were,good
"The entire team, their uniforms muddy and stained, shouted for joy.",good
The exam is in an hour and I am feeling very nervous.,good
The facilitator asks each party about their feelings at the time,good
The feeling that went through me at that moment was annoyance.,good
The fight scene is before the second act.,good
The first one who dares to open his mouth I'll break his teeth...,very violent
The flu clinic had seen 200 cases of infectious disease this week.,good
"The force of the noise irritated you and you would like me to understand the discomfort that it represented, is this what you mean?",good
The Foundations classes are mainly the theory then you will see applied examples in the Advanced follow-on classes.,good
The fragrance of this meal is sweet to my nostrils.,good
The fucking idiot didn’t walked straight into me while looking at this mobile phone.,very violent
The garbage cans are full,good
The garbage cans are full,good
The garbage cans are full and there is garbage on the floor,good
The garbage has not been emptied for four days.,good
The gas tank is empty,good
The gate gives access to the garden.,good
The goal is interpersonal harmony and obtaining knowledge for future cooperation.,good
The guy's got two brain cells...,very violent
"The ham, green beans, mashed potatoes, and corn are gluten-free.",good
"The happy dog ran the entire length of the park, pausing only to sniff the dandelions.",good
The hat you ordered was kid-sized.,good
The help you gave me was very touching.,good
The horse raced past the barn.,good
"The horse was running across the meadow, jumping over the bridge and racing to the finish line.",good
The hotplates are dirty,good
The house was decorated for the holidays.,good
The ideas flow in my head.,good
The Induction Day will take place on the 2nd April from 10:00am to 4:00pm.,good
The job description mentions several skills,good
The keys are not in their place,good
"The lake, frozen over all winter, was finally thawing.",good
The last five times we've done it from behind.,good
The last month he has come at least three times a week.,good
The last person who did this had problems,very violent
"The last three times I initiated an activity, you said you didn’t want to do it.",good
"The last three times I suggested an activity, you said you didn't want to participate in it. ",good
"The last time I tried sodomy, it hurt.",good
The laundry has faded and my shirts are pink,good
The laundry smells bad,good
The lawnmower was last run 2 months ago and the grass is 15cm high.,good
The leaves of this plant have become all yellow.,good
The leaves on the plants are all yellow,good
the lice have no place here,very violent
The life expectancy of miners is 10 years less than the population of the country.,good
The light in the living room has been on all day,good
The living room hasn't been cleaned since yesterday,good
The living room is a mess.,bad
The local soccer team lost the game.,good
The machine hasn't been emptied,good
The machine hasn't been emptied for 3 days,good
"The management cancelled the project I have been working on for 2 years, I felt angry because I need my work to have meaning.",good
The management feels grateful as we realize that the project couldn’t have been done successfully without your support.,good
The management team would like to thank you for your immense contribution towards making this year a terrific one.,acceptable positive
The media is just good at manipulating us.,bad
The Ministry of Health recommends eating 5 fruits and vegetables a day.,good
The moon is full tonight,good
The motherfucker still owes me 200 euros,very violent
The mutual understanding is important to me.,good
The naughty proposal you texted me excited me.,good
"The night air encapsulated by fog, she vanished.",good
The noise seemed deafening.,good
The notebook is not in your bag,good
"The older you get, the more you act like your mother.",bad
"the only day your fat darone doesn't swallow is to produce such garbage, well fuck.",very violent
the only good method is to do it like this,bad
The only human being you care about is yourself.,violent
The only thing you know how to do is get angry,bad
the only time she shuts her mouth is when she's sucking her man's dick,very violent
The other day you spent the whole afternoon on your bike,good
The package of candy is empty when it was full yesterday.,good
"The panther, the state animal of Florida, is an endangered species.",good
The park is next to the hospital.,good
The patient’s arm is in severe pain after a skiing accident.,good
The plant died because it hasn't been watered in a month.,good
The plants haven't been watered in a week,good
"The Playmobil are never put away, they are always everywhere in the house",bad
The Playmobil were not put away,good
The police asked us to leave.,good
The police department in my town is just around the corner from my house.,good
The police worked to locate the car stolen from my neighbor's driveway.,good
The politicians are all corrupt.,bad
The poodle is for babies,bad
The problem with you is that you’re too selfish.,violent
The professionalism that you have shown has impressed the entire team immensely.,acceptable positive
The project is 3 months late,good
The rat the cat killed ate the malt.,good
The reality is that you are incompetent,very violent
The result of his subtraction is wrong.,good
The running dog crashed into the wall.,good
The scientific discovery you published amazed me.,good
The scissors are not in the drawer,good
The second component of NVC is to express our feelings.,good
"The second line is not correct, the equation is not linear.",good
"The sheets smell bad, they should be changed",good
The show is at 8pm tonight.,good
The show is sold out.,good
The smell of the glue made my head spin.,good
The snack box was not in our son's school bag today.,good
The speech was given this morning.,good
The speech you gave moved me a lot.,good
"The storm blew the roof off ten houses, severed power lines and killed two people.",good
The sun is breaking over the horizon.,good
"The sun was shining, but it was a bit windy.",good
The teacher gave us this document,good
The team raised enough money for new uniforms this year.,good
The team won without the starting quarterback.,good
The teamwork displayed while doing the project was exemplary and commendable.,good
the term Arabs is used to designate populations linked by the practice of the Arabic language,good
The toilet is dirty,good
The train does not leave at 12 AM.,good
The train leaves every morning at 18 AM.,good
The train was late.,good
The trainee sent us this document,good
"The training was found to increase equanimity, decrease anger, and lead to abilities to take responsibility for one's feelings, express empathy, and to make requests without imposing demands.",good
"The training was found to reduce recidivism from 37% to 21%, and the training was estimated as having saved the state $5 million per year in reduced incarceration costs.",good
The trash can smells like rotten meat.,good
"The two times I called you last week, you were too busy to talk. ",good
The United States is a country in North America.,good
The vaccination center is at the sports house.,good
the vase is broken,good
The very idea that you can do it is totally laughable.,very violent
The wall is three feet high.,good
The washing machine hasn't been running,good
The washing machine is full,good
The weather is nice today.,good
The whole world is falling apart around me.,bad
The word Arabs originally referred to the inhabitants of the Arabian Peninsula,good
"Their heads hanging down, the whole group apologized.",good
Then you're just being selfish.,bad
"There are 3 calculation errors in this quote, I admit that I feel a little confused.",good
There are 3 toys in your room that belong to me.,good
There are 4 laundry baskets to fold,good
There are 6 full baskets of dirty laundry.,good
There are a dozen candy wrappers on the couch,good
There are brown streaks in the toilet bowl,good
There are certain things you have to do whether you like it or not,bad
There are civilians in the area,good
There are dirty dishes in the sink,good
There are dishes piled up in the sink,good
There are drawings on the walls.,good
There are dust bunnies under the beds.,good
There are empty cake packages under your bed.,good
There are empty yogurt cups on your desk from three days ago.,good
There are fingerprints on the windows.,good
There are footprints on the floor.,good
There are footprints on the tiles,good
There are four fingerprints on your drawing.,good
There are hundreds of toys all over the floor it's an unspeakable mess,bad
There are maggots in the trash,good
There are paint marks on his shirt,good
"There are several points that I don't understand, I feel suspicious about this proposal.",good
There are some exciting changes coming to our department that I wish to alert you to.,good
There are things you must do whether you like it or not.,bad
There are three apples in the fridge.,good
there are times when you must be cruel to be kind,very violent
There are times when you're not mad?,violent
there are too many files on your desk,bad
There are toys all over the floor.,bad
There are traces of mud on the floor,good
There is 2mm of white space between the two columns,good
There is a big chocolate stain on the sofa,good
There is a large ecosystem of workshops and clinical and self-help materials about NVC. ,good
There is a species of monkey that has sex six times a day on average.,good
There is dirt on the ground,good
There is no dessert left I feel unsatisfied.,good
There is no more meat in the freezer.,good
There is no more room on the table because there is a lot of clutter,good
There is no point,bad
There is no point in what you say,bad
There is no way to have a conversation with you,bad
There is no way to trust you.,violent
There is paint on the walls.,good
"There is pee on the floor for the third time this week, I feel exasperated.",good
There is something to be alarmed about when we see the pitiful state you are in.,bad
There is two different conventions in use.,good
There is waste on the ground,good
There was a fraud at the bank yesterday,good
There was a mouse in the house,good
There was a rat in the kitchen,good
There was an argument this morning between two team members; I felt upset because I need the cooperation of the participants.,good
There was no one on the train so we had sex on the seats.,good
There was pee on the toilet bowl,good
There were 3 civilian casualties,good
There were flowers in the vase.,good
There were four people at this party.,good
There were three chocolate bars in the cupboard and now there are none left.,good
There's a lot to be sorry for when you look at your face...,bad
There's a stain on the tablecloth,good
"There's a thing there, I can't do it, you do it.",bad
there's always something wrong,bad
there's always trouble,bad
there's no discussion to be had,bad
There's no more gruyere in the fridge,good
there's no point,bad
There's no reason to change our habits,bad
there's nothing else you're interested in besides sex,bad
"There's nothing to understand, it's like Chinese in this exercise.",bad
There's some of your stuff on the floor,good
There's too many things wrong with you...,bad
These jeans with holes in them are a way for me to mark my identity.,good
These kikes get up early in the morning so they can screw everybody out of their money.,violent
These negotiations will get us nowhere,bad
"These people are disgusting, they’ll do anything for money.",violent
These people are downright nasty,violent
These things should be planned instead of improvised,bad
"They are a bunch of cold, faceless bureaucrats who don’t give a damn about anybody but themselves!",violent
They are all assholes,violent
They are all bad,violent
They are all thieves,violent
They are destroying everything.,bad
They are not helping at all.,bad
They canceled classes.,good
They claim to have been home all night.,good
They don’t take care of their property. ,bad
They don't go to school tomorrow.,good
They drove to the store.,good
They get the benefits and they don't do anything,violent
"They have cut over 90% of this territory, and are still continuing.",good
They have no respect for human beings.,bad
They really pissed me off with those bastards when they cancelled the contract.,bad
They said you couldn't handle it,bad
They said you didn't have the skills,bad
They see you as an apostate,violent
They speak English at work.,good
They think you don't deserve to live,violent
They think you're a dummy,violent
They think you're a pushover,violent
They think you're stupid,violent
They think you're the last hypocrite,violent
They’re scumbag investors who didn’t have the money they said they had,very violent
they're whores,very violent
"Think about what you just said, it will do you good",violent
Think about what you just said...,bad
think of me,bad
"Thinking about it, I feel irritated and sad because I need quiet space around me to concentrate on my work.",good
"This course is crap, it's impossible to grasp the trick.",bad
This decision contradicts the one we made,good
This emotion tells me that I may have a need for sleep that is not being met.,good
This feeling is familiar to me.,good
This fresh shower has rejuvenated me.,good
This guy's a real bastard,bad
This has impressed the entire team.,good
This hot chocolate has cheered me up.,good
this how i have to do it,bad
This idea is totally stupid,bad
This idea worries me,good
This is a bunch of crap you’re offering us!,violent
this is how it is,bad
This is how it should be,bad
this is how the situation will stay,bad
this is how we are taught to do,bad
this is how you have to do it,bad
This is just to piss me off,bad
This is laughable at best,violent
This is mean of you.,bad
This is not a carefree world,bad
This is not the way to get anywhere.,bad
This is really disgusting of you,violent
This is the fourth time this week that you stated you disagree with something I’m saying.,good
This is the fourth time this week you've managed to argue with me.,violent
This is the last time I listen to you,bad
This is the last time I trust you,violent
this is the last time I'm telling you,bad
This is the principle of minimization of the data collection.,good
This is the third time this month you've broken a glass.,good
This is to let you know that I’ve had to postpone the meeting.,good
This is totally unacceptable,violent
This is turning into a raging lunacy with you ....,very violent
This item hasn't been put away for a month,good
This joke made me feel hilarious.,good
This living room is like a garbage can,bad
This massage has soothed me.,good
This month I was the only one to vacuum.,good
This morning I prepare the bags for the trip I feel in effervescence.,good
This morning I shot an elephant in my pajamas.,good
This morning the bag was not ready,good
This movement tells me that I need spontaneity.,good
This movie captivated me.,good
This music keeps me awake,good
This news has brightened my day.,good
This news has given me a boost.,good
This novelty disturbs me because it goes against my need for security.,good
This opinion is different from the one you gave me before,good
This paper is white,good
This place is new to me I feel a little disoriented.,good
This process just isn’t goind to work and we’re wasting tons of time.,bad
This proposal is totally idiotic,violent
This realization makes me question my need for personal space.,good
This scumbag deserves to spend the rest of his life in prison,very violent
This should calm you down a little bit,very violent
This shouldn't be happening anymore,bad
This situation is new to me I feel a little unsettled.,good
this story does not meet my need,good
This story is completely laughable,bad
"This teacher is a total soporific, he's going to make me sleep...",bad
This time it's too much,bad
This toy is broken,good
This trip did me a lot of good and I feel relaxed.,good
This vase is broken and I really wanted it.,good
"This very superficial grammatist, supposing empty criticism about the adoption of proper phraseology to be a show of extraordinary erudition, was displaying, in spite of ridicule, a very boastful turgid argument concerning the correction of false syntax, and about the detection of false logic in debate.",bad
This way of perceiving things is new for me.,good
This week he went to bed twice without brushing his teeth.,good
This week you've been in the office for over 60 hours,good
"This week, we had dinner 3 times after 9pm",good
This weekend you were not with me and I felt alone.,good
this will help create a better atmosphere,bad
This will help you stop complaining.,bad
This will never work,bad
"Though it is not a part of your job profile, you still came forward willingly, out of your office hours, to help the company.",good
"Though it is raining, you swam in the pool.",good
Tie me up.,good
To be an astronaut is my dream.,good
To have a hamburger was what I wanted.,good
To hold the job was what the manager promised,good
"To increase cash flow and limit layoffs, the company has decided that salary reductions are necessary at this time.",good
To me you are the smartest boy in the world,good
To me you're just a meal ticket.,very violent
"to me, you're a bug",very violent
"To put it another way, they will die without the sun.",good
"To that end, a new study has been launched that looks at elephant sounds and their possible meanings.",good
to the saint glinglin,bad
To Whom it May Concern,good
Today it has been more than five times.,good
"Today you repeated the same joke 6 times, I must admit I feel a little tired.",good
Tomorrow early morning first I go to morning walk.,good
"Tomorrow I have an exam, I feel confident.",good
Tomorrow I would like the garbage to be taken out,good
Tonight I'll give you a hard time.,good
Tonight we had dinner at 8pm,good
Try it and see,bad
Try to put yourself in my shoes too,bad
Try to understand me too...,bad
Tu agaces tout le monde.,very violent
"Tu as un problème, moi aussi j'ai un problème, il est pire que toi.",violent
Tu es trop con pour comprendre de toutes façons,very violent
Tuesday is good for me.,good
Twice this week he didn’t brush his teeth before going to bed.,good
Two plus two makes four.,good
"Vegetable-wise, I've only tried it once with a zucchini.",good
Violence is bad and people who kill others are evil.,bad
"Waiting for your answer, so that we can find a slot to meet in visio.",good
"Wake up, it's not possible to be so lethargic...",violent
Walking around the city helps to inspire me.,good
Want to order out?,good
Warm regards,good
Was the weather hot?,good
"Washed with my clothes, my cell phone no longer worked.",good
Water freezes at 0°C.,good
We also like to take this opportunity to and thank you for an excellent performance.,good
We appreciate the spirit of each team member. ,good
We appreciate your performance and look forward to working with you on many future projects.,good
we approach what we want to observe,good
We are 20 minutes late,good
We are anxiously awaiting news from people we care about.,good
We are asking all employees to accept an 8% pay cut.,good
We are committed to helping you through this rough time in life’s journey. ,good
We are in a catastrophic situation,bad
We are leaving tomorrow for a trip and I feel very excited.,good
"We are looking forward to the movie, having seen the trailer last week.",good
"We are not at the zulu's eh, we have to calm down there...",bad
We are pleased to inform you that you won the prize.,good
We are sure that the team feels recognized and rewarded under your able leadership.,good
We are thrilled to have such a terrific group of people working in tandem. ,good
We arrived an hour late,good
We attempted to contact him several times.,good
We bought the domain name.,good
We camped by the brook.,good
We can even use the variable to get the index with no cost.,good
We can never build something together,violent
We can never have a serious conversation with you,bad
We can see that it's not you who cleans up after,bad
we can see that it's not you who's doing this,bad
We can see that you're not the one who has to deal with the consequences,bad
We can't trust you,bad
"We care about our impact on employees, customers and the communities where we live and work. ",good
We could never tell them that we are afraid.,bad
We decided to get married in a hot air balloon.,good
We did it together.,good
We did not watch TV last night.,good
We don't do anything together except for the kids,bad
We don't give a fuck,very violent
We don't give a fuck about your bullshit,very violent
we don't need people like you,very violent
We don't need you,very violent
We earned this money by selling cakes,good
We got married after college.,good
We had 3 arguments today and I feel discouraged because I need peace.,good
We had a date night this week.,good
We had a little fun and dozed off.,good
We had a three-course meal.,good
We had planned this,good
"We had sex in the barn, I loved it, but the straw stung our butts.",good
We have 3 children,good
We have a little boy,good
We have a plan in place,good
We have an American correspondent,good
We have been discussing this topic for two hours and I feel my attention waning.,good
We have been married for over thirty years.,good
"We have kids who play here and I want the yard to be safe, clean space for them.",good
we have no choice,bad
we have nothing in common,violent
We have received confirmation that this attack is the work of terrorists,good
We have time for a quicky before we take off.,good
We have to replace the window broken by the hail.,good
We haven't changed the living room decor in 10 years.,good
We haven't had heat for a week,good
We haven't lived together for over thirty years.,good
We hope you are happy with this.,good
We hope you find this satisfactory.,good
We live in Texas.,good
We live together.,good
"We look forward to seeing you in the New Year, rejuvenated and ready to take on new challenges with more passion.",good
We made love for 3 hours and now I'm tired.,good
We married after college.,good
We never had a deep discussion,bad
we never spend a single moment together,bad
We never spend time together,bad
We planned this trip together,good
We really appreciate your help.,good
we see the result,bad
We send each other erotic letters.,good
We should buy a St. Andrew's crone so I can take care of you while you're tied up.,good
We shouldn't fight because it's wrong.,bad
We still have a nice duo of bitches,very violent
We study together.,good
We suspect she may have a fracture.,good
"We thank you once again, for showing such impeccable leadership skills.",good
We then proceeded to drink until we blacked out.,good
We vowed to love and cherish one another.,good
We walked for 4 hours before stopping at the fountain because we needed water.,good
We walked to a lake.,good
We walked to the lake on Saturday morning.,good
We went swimming.,good
"We went to the mall; however, we only went window-shopping.",good
We were at a lake.,good
we won't go around in circles,bad
We won't make it,bad
We work together.,good
We would like to thank every member of your team for completing this difficult project in time and well within the budget.,good
We would like to thank you for your outstanding job leading the project.,good
We’d like you to attend school until you’re 16 because we value a solid education.,good
We’re so sorry to hear about your mother’s death.,good
"Wearing a hard hat and boots, I crossed the construction site.",good
we'll leave it at that,bad
We'll never be able to agree,bad
we'll never make it,bad
We'll never make plans together,bad
We'll see if you open your mouth again when I kick your teeth in,very violent
We'll talk about it when the chickens have teeth.,bad
"Well that's it, keep looking at her, go ask her for her phone number",bad
"well, he's talking nonsense",bad
Well-educated women know how to handle their anger,violent
We're 3 days behind schedule,good
We're in trouble,bad
We're into victimization here,violent
We're learning to communicate better.,good
We're never gonna make it,bad
we're never together,bad
We're not a couple anymore,bad
we're not going to beat around the bush,bad
we're not going to look for noon at 2pm,bad
we're not going to make it,bad
we're not going to spend the day,bad
We're not in kindergarten anymore,very violent
"We're not in the Care Bears' world, so you have to put up with it like a grown-up",violent
we're not meant to be together,bad
We're on vacation and I'm feeling carefree.,good
Were you high on cough syrup when you wrote this?,bad
"We've already seen this a million times, you don't remember anything, I swear!",bad
We've been married for almost seven years now and I hope we'll be married for a long time...,good
